chapterID,characterID,event,details,withID
66,1426,mentionned,,
66,1451,mentionned,,
67,456,mentionned,,
67,785,mentionned,,
67,831,mentionned,,
67,1140,mentionned,,
67,1157,mentionned,,
67,1431,mentionned,,
67,1528,mentionned,,
67,1530,mentionned,,
68,352,mentionned,,
68,438,mentionned,,
68,862,mentionned,,
68,1145,mentionned,,
68,1406,mentionned,,
68,1770,mentionned,,
69,163,mentionned,,
69,295,mentionned,,
69,456,mentionned,,
69,785,mentionned,,
69,790,mentionned,,
69,831,mentionned,,
69,900,mentionned,,
69,1035,mentionned,,
69,1066,mentionned,,
69,1122,mentionned,,
69,1396,mentionned,,
69,1431,mentionned,,
69,1552,mentionned,,
69,1586,mentionned,,
69,1716,mentionned,,
69,1727,mentionned,,
69,1757,mentionned,,
70,194,mentionned,,
70,808,mentionned,,
70,851,mentionned,,
70,1057,mentionned,,
70,1335,mentionned,,
70,1431,mentionned,,
70,1527,mentionned,,
71,265,mentionned,,
71,287,mentionned,,
71,456,mentionned,,
71,746,mentionned,,
71,831,mentionned,,
71,852,mentionned,,
71,1303,mentionned,,
71,1396,mentionned,,
71,1431,mentionned,,
71,1598,mentionned,,
71,1676,mentionned,,
72,352,mentionned,,
72,438,mentionned,,
72,826,mentionned,,
72,862,mentionned,,
72,1145,mentionned,,
73,27,mentionned,,
73,385,mentionned,,
73,456,mentionned,,
73,836,mentionned,,
73,1046,mentionned,,
73,1122,mentionned,,
73,1396,mentionned,,
73,1404,mentionned,,
73,1432,mentionned,,
73,1545,mentionned,,
73,1562,mentionned,,
73,1586,mentionned,,
74,136,mentionned,,
74,456,mentionned,,
74,586,mentionned,,
74,747,mentionned,,
74,968,mentionned,,
74,1873,mentionned,,
75,137,mentionned,,
75,287,mentionned,,
75,429,mentionned,,
75,456,mentionned,,
75,831,mentionned,,
75,987,mentionned,,
75,1528,mentionned,,
75,1530,mentionned,,
75,1676,mentionned,,
75,1716,mentionned,,
75,1770,mentionned,,
76,136,mentionned,,
76,163,mentionned,,
76,295,mentionned,,
76,456,mentionned,,
76,785,mentionned,,
76,790,mentionned,,
76,831,mentionned,,
76,836,mentionned,,
76,922,mentionned,,
76,1058,mentionned,,
76,1303,mentionned,,
76,1396,mentionned,,
76,1431,mentionned,,
76,1434,mentionned,,
76,1530,mentionned,,
76,1552,mentionned,,
76,1716,mentionned,,
76,1727,mentionned,,
76,1757,mentionned,,
77,240,mentionned,,
77,287,mentionned,,
77,1013,mentionned,,
77,1201,mentionned,,
77,1255,mentionned,,
77,1431,mentionned,,
77,1451,mentionned,,
77,1782,mentionned,,
78,136,mentionned,,
78,224,mentionned,,
78,295,mentionned,,
78,586,mentionned,,
78,791,mentionned,,
78,1621,mentionned,,
78,1873,mentionned,,
79,20,mentionned,,
79,27,mentionned,,
79,136,mentionned,,
79,194,mentionned,,
79,240,mentionned,,
79,287,mentionned,,
79,418,mentionned,,
79,450,mentionned,,
79,630,mentionned,,
79,785,mentionned,,
79,793,mentionned,,
79,808,mentionned,,
79,831,mentionned,,
79,851,mentionned,,
79,1013,mentionned,,
79,1045,mentionned,,
79,1201,mentionned,,
79,1329,mentionned,,
79,1335,mentionned,,
79,1396,mentionned,,
79,1431,mentionned,,
79,1434,mentionned,,
79,1527,mentionned,,
