message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length
t900	16	from	mention				1352854709		t2097	
t700	16	from	mention				1352854766		t2097	
t698	16	to	mention				1352854979		t2097	
t411	16	from	mention				1352855081		t2097	
t743	16	from	mention				1352855163		t2097	
t745	16	to	mention				1352855208		t2097	
t900	16	from	mention				1352854709		t2098	
t1716	16	from	mention				1353547781		t2153	
t1647	16	from	mention				1354753885		t2187	
t1380	17	to	mention				1326415721		t66	
t1315	17	to	mention				1327021713		t111	
t168	17	to	mention				1328144905		t148	
t1379	17	to	mention				1329787747		t213	
t1382	17	to	mention				1329959523		t223	
t1383	17	to	mention				1330042983		t225	
t122	17	to	mention				1330392244		t243	
t167	17	to	mention				1330392468		t245	
t165	17	to	mention				1330562175		t274	
t1674	17	to	mention				1331685739		t365	
t1378	17	to	mention				1332290853		t416	
t1386	17	to	mention				1332461133		t429	
t1385	17	to	mention				1332461245		t436	
t1377	17	to	mention				1332461703		t440	
t1381	17	to	mention				1332552678		t447	
t310	17	to	mention				1336783624		t802	
t166	17	to	mention				1337040993		t818	
t164	17	to	mention				1337821964		t891	
t1384	17	to	mention				1338941377		t984	
t1047	17	to	mention				1341537025		t1310	
t1542	18	to	mention				1330389621		t250	
t890	18	to	mention				1334366163		t595	
t1541	18	to	mention				1337131165		t830	
t1540	18	to	mention				1338943241		t992	
t1368	19	to	mention				1346807658		t1649	
t1369	20	to	mention				1332461295		t438	
t1226	20	to	mention				1334625671		t614	
t140	20	to	mention				1336436834		t779	
t138	20	to	mention				1336781305		t804	
t139	20	to	mention				1336872044		t813	
t137	20	to	mention				1336872385		t815	
t565	21	to	mention				1325635882		t6	
t145	21	to	mention				1326417007		t77	
t1660	21	to	mention				1326417153		t78	
t148	21	to	mention				1326673716		t86	
t151	21	to	mention				1326849381		t96	
t142	21	to	mention				1327021747		t113	
t1373	21	to	mention				1327107944		t116	
t951	21	to	mention				1327277409		t118	
t12	21	to	mention				1327279458		t119	
t144	21	to	mention				1328751367		t164	
t135	21	to	mention				1329356167		t194	
t154	21	to	mention				1330563795		t273	
t1372	21	to	mention				1330909113		t295	
t1374	21	to	mention				1331252013		t320	
t149	21	to	mention				1331944353		t394	
t158	21	to	mention				1332119036		t402	
t1609	21	to	mention				1333758097		t546	
t156	21	to	mention				1335140437		t667	
t1370	21	to	mention				1336095513		t740	
t153	21	to	mention				1336267064		t750	
t150	21	to	mention				1336350097		t758	
t157	21	to	mention				1336350385		t760	
t159	21	to	mention				1336436111		t762	
t143	21	to	mention				1336438608		t769	
t1351	21	to	mention				1336440689		t770	
t1371	21	to	mention				1336781999		t803	
t147	21	to	mention				1337303279		t849	
t146	21	to	mention				1337385757		t855	
t152	21	to	mention				1337733446		t879	
t311	21	to	mention				1338336495		t940	
t155	21	to	mention				1339978364		t1093	
t1232	21	to	mention				1339978465		t1094	
t134	21	to	mention				1339978612		t1095	
t141	21	to	mention				1339979613		t1103	
t162	21	to	mention				1341883466		t1367	
t160	21	to	mention				1341883889		t1368	
